,Story,Question,Answer
12,Sandra went back to the hallway . Sandra moved to the office . Mary moved to the hallway . Daniel journeyed to the garden . Mary journeyed to the office . Mary went back to the hallway .,Is Mary in the hallway ?,yes
13,Sandra went back to the hallway . Sandra moved to the office . Mary moved to the hallway . Daniel journeyed to the garden . Mary journeyed to the office . Mary went back to the hallway . John grabbed the apple there . Mary moved to the garden .,Is Mary in the hallway ?,no
14,Sandra went back to the hallway . Sandra moved to the office . Mary moved to the hallway . Daniel journeyed to the garden . Mary journeyed to the office . Mary went back to the hallway . John grabbed the apple there . Mary moved to the garden . Daniel went back to the hallway . John journeyed to the bathroom .,Is Mary in the garden ?,yes
15,Sandra moved to the office . John went back to the garden .,Is Sandra in the office ?,yes
16,Sandra moved to the office . John went back to the garden . Sandra went to the hallway . Sandra went to the kitchen .,Is Sandra in the bathroom ?,no
17,Sandra moved to the office . John went back to the garden . Sandra went to the hallway . Sandra went to the kitchen . Mary went to the office . Sandra got the apple there .,Is Sandra in the kitchen ?,yes
18,Sandra moved to the office . John went back to the garden . Sandra went to the hallway . Sandra went to the kitchen . Mary went to the office . Sandra got the apple there . Mary journeyed to the hallway . Mary journeyed to the bedroom .,Is Mary in the bedroom ?,yes
19,Sandra moved to the office . John went back to the garden . Sandra went to the hallway . Sandra went to the kitchen . Mary went to the office . Sandra got the apple there . Mary journeyed to the hallway . Mary journeyed to the bedroom . Mary journeyed to the garden . Mary went to the kitchen .,Is Mary in the kitchen ?,yes
20,Daniel got the apple there . John picked up the football there . Daniel left the apple . Daniel moved to the kitchen .,Is Daniel in the bedroom ?,no
21,Daniel got the apple there . John picked up the football there . Daniel left the apple . Daniel moved to the kitchen . Sandra went back to the bathroom . Sandra grabbed the apple there .,Is Sandra in the bathroom ?,yes
22,Daniel got the apple there . John picked up the football there . Daniel left the apple . Daniel moved to the kitchen . Sandra went back to the bathroom . Sandra grabbed the apple there . John dropped the football . John got the football there .,Is Sandra in the bedroom ?,no
23,Daniel got the apple there . John picked up the football there . Daniel left the apple . Daniel moved to the kitchen . Sandra went back to the bathroom . Sandra grabbed the apple there . John dropped the football . John got the football there . Sandra put down the apple . Sandra grabbed the apple there . Daniel travelled to the hallway . Sandra left the apple .,Is Daniel in the office ?,no
24,Daniel got the apple there . John picked up the football there . Daniel left the apple . Daniel moved to the kitchen . Sandra went back to the bathroom . Sandra grabbed the apple there . John dropped the football . John got the football there . Sandra put down the apple . Sandra grabbed the apple there . Daniel travelled to the hallway . Sandra left the apple . John dropped the football . Sandra picked up the apple there .,Is Daniel in the kitchen ?,no
25,Sandra journeyed to the garden . Sandra went back to the bedroom .,Is Sandra in the bathroom ?,no
26,Sandra journeyed to the garden . Sandra went back to the bedroom . Daniel took the apple there . Sandra travelled to the office .,Is Sandra in the office ?,yes
27,Sandra journeyed to the garden . Sandra went back to the bedroom . Daniel took the apple there . Sandra travelled to the office . John went to the hallway . Sandra moved to the kitchen .,Is John in the office ?,no
28,Sandra journeyed to the garden . Sandra went back to the bedroom . Daniel took the apple there . Sandra travelled to the office . John went to the hallway . Sandra moved to the kitchen . Daniel journeyed to the bathroom . Daniel went back to the bedroom .,Is Sandra in the office ?,no
29,Sandra journeyed to the garden . Sandra went back to the bedroom . Daniel took the apple there . Sandra travelled to the office . John went to the hallway . Sandra moved to the kitchen . Daniel journeyed to the bathroom . Daniel went back to the bedroom . Daniel travelled to the kitchen . Sandra went to the bedroom .,Is Sandra in the hallway ?,no
30,John went to the bathroom . Sandra took the football there .,Is John in the bathroom ?,yes
31,John went to the bathroom . Sandra took the football there . Mary journeyed to the kitchen . John journeyed to the bedroom .,Is John in the bedroom ?,yes
32,John went to the bathroom . Sandra took the football there . Mary journeyed to the kitchen . John journeyed to the bedroom . John took the apple there . John left the apple .,Is Mary in the hallway ?,no
33,John went to the bathroom . Sandra took the football there . Mary journeyed to the kitchen . John journeyed to the bedroom . John took the apple there . John left the apple . Daniel grabbed the milk there . Sandra dropped the football .,Is John in the bedroom ?,yes
34,John went to the bathroom . Sandra took the football there . Mary journeyed to the kitchen . John journeyed to the bedroom . John took the apple there . John left the apple . Daniel grabbed the milk there . Sandra dropped the football . Mary picked up the football there . John got the apple there . Mary dropped the football . Daniel went back to the kitchen .,Is Daniel in the bathroom ?,no
35,Sandra went to the garden . Sandra grabbed the milk there .,Is Sandra in the hallway ?,no
36,Sandra went to the garden . Sandra grabbed the milk there . Mary moved to the office . Mary went to the garden .,Is Mary in the kitchen ?,no
37,Sandra went to the garden . Sandra grabbed the milk there . Mary moved to the office . Mary went to the garden . Daniel went back to the office . Mary journeyed to the bedroom .,Is Mary in the bathroom ?,no
38,Sandra went to the garden . Sandra grabbed the milk there . Mary moved to the office . Mary went to the garden . Daniel went back to the office . Mary journeyed to the bedroom . Sandra went back to the hallway . Sandra journeyed to the office .,Is Sandra in the office ?,yes
39,Sandra went to the garden . Sandra grabbed the milk there . Mary moved to the office . Mary went to the garden . Daniel went back to the office . Mary journeyed to the bedroom . Sandra went back to the hallway . Sandra journeyed to the office . Sandra journeyed to the garden . Mary journeyed to the hallway .,Is Mary in the bathroom ?,no
40,Sandra grabbed the football there . Sandra went back to the hallway .,Is Sandra in the garden ?,no
41,Sandra grabbed the football there . Sandra went back to the hallway . Mary journeyed to the kitchen . Mary moved to the office .,Is Mary in the office ?,yes
42,Sandra grabbed the football there . Sandra went back to the hallway . Mary journeyed to the kitchen . Mary moved to the office . John moved to the kitchen . Sandra put down the football there .,Is John in the bathroom ?,no
43,Sandra grabbed the football there . Sandra went back to the hallway . Mary journeyed to the kitchen . Mary moved to the office . John moved to the kitchen . Sandra put down the football there . Mary took the apple there . John travelled to the hallway .,Is John in the garden ?,no
44,Sandra grabbed the football there . Sandra went back to the hallway . Mary journeyed to the kitchen . Mary moved to the office . John moved to the kitchen . Sandra put down the football there . Mary took the apple there . John travelled to the hallway . Daniel moved to the hallway . Mary travelled to the kitchen .,Is John in the garden ?,no
45,Daniel journeyed to the bedroom . John moved to the bedroom .,Is Daniel in the hallway ?,no
46,Daniel journeyed to the bedroom . John moved to the bedroom . Daniel took the apple there . Mary moved to the office .,Is Mary in the office ?,yes
47,Daniel journeyed to the bedroom . John moved to the bedroom . Daniel took the apple there . Mary moved to the office . Sandra went to the office . Daniel went to the bathroom .,Is Daniel in the bathroom ?,yes
48,Daniel journeyed to the bedroom . John moved to the bedroom . Daniel took the apple there . Mary moved to the office . Sandra went to the office . Daniel went to the bathroom . Daniel put down the apple . Sandra journeyed to the kitchen .,Is Mary in the hallway ?,no
49,Daniel journeyed to the bedroom . John moved to the bedroom . Daniel took the apple there . Mary moved to the office . Sandra went to the office . Daniel went to the bathroom . Daniel put down the apple . Sandra journeyed to the kitchen . Daniel grabbed the apple there . Daniel took the milk there .,Is Daniel in the kitchen ?,no
50,Mary went back to the bathroom . Daniel went to the office .,Is Mary in the bathroom ?,yes
51,Mary went back to the bathroom . Daniel went to the office . Mary got the milk there . Sandra travelled to the bathroom .,Is Sandra in the bathroom ?,yes
52,Mary went back to the bathroom . Daniel went to the office . Mary got the milk there . Sandra travelled to the bathroom . Mary went back to the bedroom . Mary picked up the apple there .,Is Sandra in the bathroom ?,yes
53,Mary went back to the bathroom . Daniel went to the office . Mary got the milk there . Sandra travelled to the bathroom . Mary went back to the bedroom . Mary picked up the apple there . Sandra moved to the hallway . Mary discarded the apple .,Is Mary in the bedroom ?,yes
54,Mary went back to the bathroom . Daniel went to the office . Mary got the milk there . Sandra travelled to the bathroom . Mary went back to the bedroom . Mary picked up the apple there . Sandra moved to the hallway . Mary discarded the apple . Daniel journeyed to the kitchen . Mary took the apple there .,Is Daniel in the bathroom ?,no
55,Daniel journeyed to the hallway . Mary went back to the kitchen .,Is Mary in the kitchen ?,yes
56,Daniel journeyed to the hallway . Mary went back to the kitchen . John moved to the hallway . John picked up the apple there .,Is Daniel in the kitchen ?,no
57,Daniel journeyed to the hallway . Mary went back to the kitchen . John moved to the hallway . John picked up the apple there . Daniel moved to the bathroom . John went to the garden .,Is Mary in the kitchen ?,yes
58,Daniel journeyed to the hallway . Mary went back to the kitchen . John moved to the hallway . John picked up the apple there . Daniel moved to the bathroom . John went to the garden . Mary moved to the hallway . John dropped the apple .,Is John in the bedroom ?,no
59,Daniel journeyed to the hallway . Mary went back to the kitchen . John moved to the hallway . John picked up the apple there . Daniel moved to the bathroom . John went to the garden . Mary moved to the hallway . John dropped the apple . Sandra grabbed the apple there . Sandra left the apple .,Is John in the garden ?,yes
60,John journeyed to the hallway . Sandra took the football there .,Is John in the bathroom ?,no
61,John journeyed to the hallway . Sandra took the football there . John journeyed to the bathroom . John journeyed to the office .,Is John in the garden ?,no
62,John journeyed to the hallway . Sandra took the football there . John journeyed to the bathroom . John journeyed to the office . Daniel journeyed to the hallway . Sandra discarded the football there .,Is John in the garden ?,no
63,John journeyed to the hallway . Sandra took the football there . John journeyed to the bathroom . John journeyed to the office . Daniel journeyed to the hallway . Sandra discarded the football there . Daniel moved to the office . John picked up the apple there .,Is Daniel in the kitchen ?,no
64,John journeyed to the hallway . Sandra took the football there . John journeyed to the bathroom . John journeyed to the office . Daniel journeyed to the hallway . Sandra discarded the football there . Daniel moved to the office . John picked up the apple there . John moved to the bathroom . Mary journeyed to the bathroom .,Is Mary in the bathroom ?,yes
65,Sandra went back to the bathroom . Sandra took the apple there .,Is Sandra in the bathroom ?,yes
66,Sandra went back to the bathroom . Sandra took the apple there . Sandra picked up the football there . John journeyed to the bathroom .,Is John in the bathroom ?,yes
67,Sandra went back to the bathroom . Sandra took the apple there . Sandra picked up the football there . John journeyed to the bathroom . Mary went back to the bedroom . John moved to the kitchen .,Is Mary in the kitchen ?,no
68,Sandra went back to the bathroom . Sandra took the apple there . Sandra picked up the football there . John journeyed to the bathroom . Mary went back to the bedroom . John moved to the kitchen . John went to the office . Sandra took the milk there .,Is Mary in the bedroom ?,yes
69,Sandra went back to the bathroom . Sandra took the apple there . Sandra picked up the football there . John journeyed to the bathroom . Mary went back to the bedroom . John moved to the kitchen . John went to the office . Sandra took the milk there . Sandra left the football . Sandra left the apple there .,Is John in the garden ?,no
70,John went back to the hallway . Daniel travelled to the hallway .,Is Daniel in the bathroom ?,no
71,John went back to the hallway . Daniel travelled to the hallway . Daniel picked up the milk there . Daniel left the milk .,Is John in the hallway ?,yes
72,John went back to the hallway . Daniel travelled to the hallway . Daniel picked up the milk there . Daniel left the milk . Daniel went to the bedroom . Daniel went back to the hallway .,Is Daniel in the hallway ?,yes
73,John went back to the hallway . Daniel travelled to the hallway . Daniel picked up the milk there . Daniel left the milk . Daniel went to the bedroom . Daniel went back to the hallway . Daniel picked up the milk there . John picked up the football there .,Is Daniel in the hallway ?,yes
74,John went back to the hallway . Daniel travelled to the hallway . Daniel picked up the milk there . Daniel left the milk . Daniel went to the bedroom . Daniel went back to the hallway . Daniel picked up the milk there . John picked up the football there . Mary went back to the bathroom . Daniel moved to the bedroom .,Is Daniel in the hallway ?,no
75,Mary got the football there . Daniel travelled to the bedroom .,Is Daniel in the hallway ?,no
76,Mary got the football there . Daniel travelled to the bedroom . Sandra got the milk there . Sandra put down the milk .,Is Daniel in the garden ?,no
77,Mary got the football there . Daniel travelled to the bedroom . Sandra got the milk there . Sandra put down the milk . Sandra journeyed to the office . Daniel went back to the kitchen .,Is Sandra in the bedroom ?,no
78,Mary got the football there . Daniel travelled to the bedroom . Sandra got the milk there . Sandra put down the milk . Sandra journeyed to the office . Daniel went back to the kitchen . Daniel moved to the bathroom . Mary left the football .,Is Daniel in the office ?,no
79,Mary got the football there . Daniel travelled to the bedroom . Sandra got the milk there . Sandra put down the milk . Sandra journeyed to the office . Daniel went back to the kitchen . Daniel moved to the bathroom . Mary left the football . Mary went back to the kitchen . John journeyed to the kitchen .,Is Daniel in the bedroom ?,no
80,Sandra went back to the office . Mary journeyed to the bedroom .,Is Mary in the bedroom ?,yes
81,Sandra went back to the office . Mary journeyed to the bedroom . Sandra got the football there . Sandra put down the football .,Is Sandra in the office ?,yes
82,Sandra went back to the office . Mary journeyed to the bedroom . Sandra got the football there . Sandra put down the football . John went back to the office . Mary grabbed the milk there .,Is Mary in the bedroom ?,yes
83,Sandra went back to the office . Mary journeyed to the bedroom . Sandra got the football there . Sandra put down the football . John went back to the office . Mary grabbed the milk there . Sandra picked up the football there . John went to the bedroom .,Is John in the bedroom ?,yes
84,Sandra went back to the office . Mary journeyed to the bedroom . Sandra got the football there . Sandra put down the football . John went back to the office . Mary grabbed the milk there . Sandra picked up the football there . John went to the bedroom . Sandra went to the kitchen . Daniel went back to the bathroom .,Is Sandra in the office ?,no
85,Sandra went to the kitchen . Sandra travelled to the bathroom .,Is Sandra in the bathroom ?,yes
86,Sandra went to the kitchen . Sandra travelled to the bathroom . Daniel went back to the bedroom . Mary journeyed to the garden .,Is Sandra in the bathroom ?,yes
87,Sandra went to the kitchen . Sandra travelled to the bathroom . Daniel went back to the bedroom . Mary journeyed to the garden . Mary went back to the office . Daniel went back to the bathroom .,Is Daniel in the hallway ?,no
88,Sandra went to the kitchen . Sandra travelled to the bathroom . Daniel went back to the bedroom . Mary journeyed to the garden . Mary went back to the office . Daniel went back to the bathroom . John went back to the bedroom . Mary went back to the garden .,Is Daniel in the bathroom ?,yes
89,Sandra went to the kitchen . Sandra travelled to the bathroom . Daniel went back to the bedroom . Mary journeyed to the garden . Mary went back to the office . Daniel went back to the bathroom . John went back to the bedroom . Mary went back to the garden . Daniel went to the bedroom . Mary moved to the bathroom .,Is Daniel in the office ?,no
90,John travelled to the garden . Sandra travelled to the garden .,Is John in the bedroom ?,no
91,John travelled to the garden . Sandra travelled to the garden . Mary moved to the bedroom . Mary travelled to the kitchen .,Is John in the garden ?,yes
92,John travelled to the garden . Sandra travelled to the garden . Mary moved to the bedroom . Mary travelled to the kitchen . John went to the office . John grabbed the milk there .,Is Sandra in the bedroom ?,no
93,John travelled to the garden . Sandra travelled to the garden . Mary moved to the bedroom . Mary travelled to the kitchen . John went to the office . John grabbed the milk there . Daniel journeyed to the hallway . Sandra got the football there .,Is Daniel in the kitchen ?,no
94,John travelled to the garden . Sandra travelled to the garden . Mary moved to the bedroom . Mary travelled to the kitchen . John went to the office . John grabbed the milk there . Daniel journeyed to the hallway . Sandra got the football there . Sandra journeyed to the bedroom . Sandra put down the football .,Is Daniel in the hallway ?,yes
95,Daniel grabbed the apple there . Daniel went to the bedroom .,Is Daniel in the bedroom ?,yes
96,Daniel grabbed the apple there . Daniel went to the bedroom . John moved to the garden . Sandra journeyed to the office .,Is John in the bathroom ?,no
97,Daniel grabbed the apple there . Daniel went to the bedroom . John moved to the garden . Sandra journeyed to the office . Daniel put down the apple . Mary went to the bedroom .,Is Daniel in the bedroom ?,yes
98,Daniel grabbed the apple there . Daniel went to the bedroom . John moved to the garden . Sandra journeyed to the office . Daniel put down the apple . Mary went to the bedroom . Mary grabbed the apple there . Sandra went back to the garden .,Is Mary in the bedroom ?,yes
99,Daniel grabbed the apple there . Daniel went to the bedroom . John moved to the garden . Sandra journeyed to the office . Daniel put down the apple . Mary went to the bedroom . Mary grabbed the apple there . Sandra went back to the garden . Mary went to the kitchen . Daniel went to the office .,Is Mary in the garden ?,no
100,Mary travelled to the bedroom . Daniel took the football there .,Is Mary in the office ?,no
101,Mary travelled to the bedroom . Daniel took the football there . Daniel went to the bathroom . Daniel went back to the kitchen .,Is Daniel in the hallway ?,no
102,Mary travelled to the bedroom . Daniel took the football there . Daniel went to the bathroom . Daniel went back to the kitchen . Mary travelled to the garden . Mary went back to the hallway .,Is Mary in the hallway ?,yes
103,Mary travelled to the bedroom . Daniel took the football there . Daniel went to the bathroom . Daniel went back to the kitchen . Mary travelled to the garden . Mary went back to the hallway . Mary went to the office . Mary travelled to the bedroom .,Is Mary in the bedroom ?,yes
104,Mary travelled to the bedroom . Daniel took the football there . Daniel went to the bathroom . Daniel went back to the kitchen . Mary travelled to the garden . Mary went back to the hallway . Mary went to the office . Mary travelled to the bedroom . Daniel discarded the football . John journeyed to the bedroom .,Is Mary in the kitchen ?,no
105,Sandra got the football there . Daniel took the apple there . Mary travelled to the office . Daniel went back to the bathroom .,Is Mary in the kitchen ?,no
106,Sandra got the football there . Daniel took the apple there . Mary travelled to the office . Daniel went back to the bathroom . Sandra journeyed to the office . Mary grabbed the milk there .,Is Mary in the kitchen ?,no
107,Sandra got the football there . Daniel took the apple there . Mary travelled to the office . Daniel went back to the bathroom . Sandra journeyed to the office . Mary grabbed the milk there . Daniel journeyed to the kitchen . John went to the bedroom .,Is Daniel in the kitchen ?,yes
108,Sandra got the football there . Daniel took the apple there . Mary travelled to the office . Daniel went back to the bathroom . Sandra journeyed to the office . Mary grabbed the milk there . Daniel journeyed to the kitchen . John went to the bedroom . Mary dropped the milk . Sandra got the milk there .,Is Daniel in the office ?,no
109,Sandra got the football there . Daniel took the apple there . Mary travelled to the office . Daniel went back to the bathroom . Sandra journeyed to the office . Mary grabbed the milk there . Daniel journeyed to the kitchen . John went to the bedroom . Mary dropped the milk . Sandra got the milk there . John moved to the hallway . Sandra moved to the kitchen .,Is John in the kitchen ?,no
110,John went to the hallway . Sandra picked up the apple there .,Is John in the hallway ?,yes
111,John went to the hallway . Sandra picked up the apple there . Daniel moved to the garden . Mary journeyed to the bedroom .,Is Mary in the bedroom ?,yes
112,John went to the hallway . Sandra picked up the apple there . Daniel moved to the garden . Mary journeyed to the bedroom . Mary moved to the bathroom . Sandra left the apple .,Is Daniel in the bedroom ?,no
113,John went to the hallway . Sandra picked up the apple there . Daniel moved to the garden . Mary journeyed to the bedroom . Mary moved to the bathroom . Sandra left the apple . Mary grabbed the milk there . Daniel moved to the office .,Is Mary in the bedroom ?,no
114,John went to the hallway . Sandra picked up the apple there . Daniel moved to the garden . Mary journeyed to the bedroom . Mary moved to the bathroom . Sandra left the apple . Mary grabbed the milk there . Daniel moved to the office . John took the football there . John moved to the bedroom .,Is John in the bedroom ?,yes
115,Daniel travelled to the bathroom . John got the apple there .,Is Daniel in the hallway ?,no
116,Daniel travelled to the bathroom . John got the apple there . John put down the apple . Mary travelled to the kitchen .,Is Daniel in the bathroom ?,yes
117,Daniel travelled to the bathroom . John got the apple there . John put down the apple . Mary travelled to the kitchen . John grabbed the apple there . Daniel travelled to the hallway .,Is Mary in the kitchen ?,yes
118,Daniel travelled to the bathroom . John got the apple there . John put down the apple . Mary travelled to the kitchen . John grabbed the apple there . Daniel travelled to the hallway . Daniel travelled to the garden . Daniel travelled to the kitchen .,Is Mary in the kitchen ?,yes
119,Daniel travelled to the bathroom . John got the apple there . John put down the apple . Mary travelled to the kitchen . John grabbed the apple there . Daniel travelled to the hallway . Daniel travelled to the garden . Daniel travelled to the kitchen . Mary moved to the garden . Sandra went to the bedroom .,Is Daniel in the office ?,no
120,John moved to the office . Mary got the football there .,Is John in the bathroom ?,no
121,John moved to the office . Mary got the football there . Sandra went to the bedroom . Mary discarded the football .,Is Sandra in the bedroom ?,yes
122,John moved to the office . Mary got the football there . Sandra went to the bedroom . Mary discarded the football . Sandra picked up the football there . John journeyed to the bathroom .,Is Sandra in the bedroom ?,yes
123,John moved to the office . Mary got the football there . Sandra went to the bedroom . Mary discarded the football . Sandra picked up the football there . John journeyed to the bathroom . Sandra left the football . Sandra moved to the hallway .,Is Sandra in the bathroom ?,no
124,John moved to the office . Mary got the football there . Sandra went to the bedroom . Mary discarded the football . Sandra picked up the football there . John journeyed to the bathroom . Sandra left the football . Sandra moved to the hallway . John took the apple there . John moved to the kitchen .,Is John in the bedroom ?,no
125,Mary went to the kitchen . Mary travelled to the office .,Is Mary in the hallway ?,no
126,Mary went to the kitchen . Mary travelled to the office . Daniel went to the hallway . Daniel took the football there .,Is Mary in the office ?,yes
127,Mary went to the kitchen . Mary travelled to the office . Daniel went to the hallway . Daniel took the football there . Sandra travelled to the office . Daniel dropped the football .,Is Sandra in the bathroom ?,no
128,Mary went to the kitchen . Mary travelled to the office . Daniel went to the hallway . Daniel took the football there . Sandra travelled to the office . Daniel dropped the football . Sandra travelled to the bathroom . Daniel went back to the kitchen .,Is Sandra in the garden ?,no
129,Mary went to the kitchen . Mary travelled to the office . Daniel went to the hallway . Daniel took the football there . Sandra travelled to the office . Daniel dropped the football . Sandra travelled to the bathroom . Daniel went back to the kitchen . Sandra went to the office . Sandra went back to the kitchen .,Is Sandra in the kitchen ?,yes
130,John took the apple there . Sandra moved to the bedroom .,Is Sandra in the bathroom ?,no
131,John took the apple there . Sandra moved to the bedroom . Mary went to the office . John discarded the apple .,Is Sandra in the bedroom ?,yes
132,John took the apple there . Sandra moved to the bedroom . Mary went to the office . John discarded the apple . John picked up the apple there . John went to the office .,Is Mary in the bedroom ?,no
133,John took the apple there . Sandra moved to the bedroom . Mary went to the office . John discarded the apple . John picked up the apple there . John went to the office . Daniel journeyed to the kitchen . Sandra went back to the hallway .,Is Daniel in the kitchen ?,yes
134,John took the apple there . Sandra moved to the bedroom . Mary went to the office . John discarded the apple . John picked up the apple there . John went to the office . Daniel journeyed to the kitchen . Sandra went back to the hallway . Daniel travelled to the bedroom . John went back to the kitchen .,Is Daniel in the bedroom ?,yes
135,Sandra travelled to the bedroom . Daniel journeyed to the hallway .,Is Sandra in the bedroom ?,yes
136,Sandra travelled to the bedroom . Daniel journeyed to the hallway . Sandra picked up the apple there . Mary went to the bathroom .,Is Mary in the bathroom ?,yes
137,Sandra travelled to the bedroom . Daniel journeyed to the hallway . Sandra picked up the apple there . Mary went to the bathroom . Sandra took the football there . John travelled to the kitchen .,Is Mary in the bathroom ?,yes
138,Sandra travelled to the bedroom . Daniel journeyed to the hallway . Sandra picked up the apple there . Mary went to the bathroom . Sandra took the football there . John travelled to the kitchen . Mary got the milk there . Mary discarded the milk .,Is John in the office ?,no
139,Sandra travelled to the bedroom . Daniel journeyed to the hallway . Sandra picked up the apple there . Mary went to the bathroom . Sandra took the football there . John travelled to the kitchen . Mary got the milk there . Mary discarded the milk . Mary took the milk there . Sandra discarded the football .,Is John in the bathroom ?,no
140,John went to the garden . Daniel got the apple there .,Is John in the kitchen ?,no
141,John went to the garden . Daniel got the apple there . John picked up the football there . John moved to the office .,Is John in the office ?,yes
142,John went to the garden . Daniel got the apple there . John picked up the football there . John moved to the office . John moved to the garden . Daniel journeyed to the garden .,Is John in the garden ?,yes
143,John went to the garden . Daniel got the apple there . John picked up the football there . John moved to the office . John moved to the garden . Daniel journeyed to the garden . Daniel dropped the apple there . Daniel went to the bathroom .,Is John in the garden ?,yes
144,John went to the garden . Daniel got the apple there . John picked up the football there . John moved to the office . John moved to the garden . Daniel journeyed to the garden . Daniel dropped the apple there . Daniel went to the bathroom . John got the apple there . John discarded the football .,Is Daniel in the bathroom ?,yes
145,Mary went to the kitchen . Daniel travelled to the bedroom .,Is Daniel in the bedroom ?,yes
146,Mary went to the kitchen . Daniel travelled to the bedroom . Daniel grabbed the apple there . John moved to the bedroom .,Is Daniel in the bedroom ?,yes
147,Mary went to the kitchen . Daniel travelled to the bedroom . Daniel grabbed the apple there . John moved to the bedroom . Sandra travelled to the bedroom . Daniel journeyed to the hallway .,Is Daniel in the kitchen ?,no
148,Mary went to the kitchen . Daniel travelled to the bedroom . Daniel grabbed the apple there . John moved to the bedroom . Sandra travelled to the bedroom . Daniel journeyed to the hallway . Daniel went back to the bedroom . Mary travelled to the office .,Is John in the bedroom ?,yes
149,Mary went to the kitchen . Daniel travelled to the bedroom . Daniel grabbed the apple there . John moved to the bedroom . Sandra travelled to the bedroom . Daniel journeyed to the hallway . Daniel went back to the bedroom . Mary travelled to the office . John travelled to the garden . Sandra moved to the hallway .,Is Mary in the bedroom ?,no
150,Mary moved to the office . Daniel went to the garden .,Is Mary in the office ?,yes
151,Mary moved to the office . Daniel went to the garden . Daniel picked up the football there . Sandra went to the kitchen .,Is Sandra in the kitchen ?,yes
152,Mary moved to the office . Daniel went to the garden . Daniel picked up the football there . Sandra went to the kitchen . Daniel left the football . Mary went back to the bedroom .,Is Mary in the office ?,no
153,Mary moved to the office . Daniel went to the garden . Daniel picked up the football there . Sandra went to the kitchen . Daniel left the football . Mary went back to the bedroom . John journeyed to the office . Mary travelled to the bathroom .,Is Mary in the garden ?,no
154,Mary moved to the office . Daniel went to the garden . Daniel picked up the football there . Sandra went to the kitchen . Daniel left the football . Mary went back to the bedroom . John journeyed to the office . Mary travelled to the bathroom . Mary moved to the bedroom . John journeyed to the kitchen .,Is Mary in the kitchen ?,no
155,Sandra travelled to the office . Daniel moved to the hallway .,Is Sandra in the office ?,yes
156,Sandra travelled to the office . Daniel moved to the hallway . Mary took the apple there . Sandra travelled to the garden .,Is Sandra in the kitchen ?,no
157,Sandra travelled to the office . Daniel moved to the hallway . Mary took the apple there . Sandra travelled to the garden . John journeyed to the bathroom . Daniel went back to the office .,Is John in the bedroom ?,no
158,Sandra travelled to the office . Daniel moved to the hallway . Mary took the apple there . Sandra travelled to the garden . John journeyed to the bathroom . Daniel went back to the office . John moved to the hallway . Sandra travelled to the bedroom .,Is Sandra in the bedroom ?,yes
159,Sandra travelled to the office . Daniel moved to the hallway . Mary took the apple there . Sandra travelled to the garden . John journeyed to the bathroom . Daniel went back to the office . John moved to the hallway . Sandra travelled to the bedroom . Mary travelled to the bathroom . Mary left the apple .,Is John in the hallway ?,yes
160,John got the football there . Sandra went to the kitchen .,Is Sandra in the kitchen ?,yes
161,John got the football there . Sandra went to the kitchen . John went to the bathroom . John went back to the garden .,Is John in the office ?,no
162,John got the football there . Sandra went to the kitchen . John went to the bathroom . John went back to the garden . John moved to the bathroom . John went back to the garden .,Is John in the garden ?,yes
