Question,Answer
I have the newest macbook air and i play the sims 4. i have a lot of custom content and mods so i wanted to know if this will hold all of my things?,I cant say. What I experienced with mine is I bought it and seldom used it. One day it just stopped working. All my movies and docs are laying in ruin. It doesnt self-repair or recover. I regret buying it
Can you back up a macbook pro laptop on this and then back up a windows desktop on the same drive?,Yup.
Does it work with Windows 10 operating system,Yes it does work with windows 10
my unit conked out after 7 months of use. how do we seek replacement under warranty agreement which is 2 years?,"You need to ask Amazon this one. I purchased an extra warranty. Plan to purchase an SSD before the the 6 month anniversary, just in case."
Is this easy to use; does it work for windows 10; storage is on the device - right?,"Yes it's just like a new drive in your pc with the capacity when you connect it with usb, works for windows 10."
can i download movies from dish dvr?,I have two of these. One hooked up to my Tablo and the other hooked up to my Fire TV Recast. And they both work very well and store thousands of movies and shows.
Can I download my personal cds onto Amazon Music,Not sure.
Will this work with thinderbolt 3?,It connects through USB so I feel sure it is compatible.
"Quiero comprar un disco externo, pero est?n los seagate, toshiba y wd y tienen cada uno opini?n diferente. pero cu?l en verdad es el mejor?",Este me ha salido muy bueno te lo recomiendo y es una marca conocida. WD ES MUY BUENO.
Does this work with Apple computers?,"Yes, that's what I use mine with... works with any OS."
how it is used for mac and windows? and can I swich it to tv?,It has a usb port so you can take it anywhere
does this work with macbook pro 2020?,"The specs that I found say it can be used with a Mac if reformatted (it comes NTFS-formatted for Windows). Other than that, I haven't seen any restrictions for specific models."
"Does it work for ps4? Acms id it does work, hora is the leading time?",Don't kno
Can i stream 4k 60fps atmos mkv rips floating around 300gb with this? are the read speeds fast enough?,This is a fully compatible USB v3.0 device (5gbs) with verified speeds in excess of 150mbps for different file sizes. So the point is that with larger files (Streaming) the drive can reach very high speeds if the device the drive is connected is capable of such speeds. So theoretically this device is capable of reachin see more
"I have installed wd security software doest recognize this hard drive but it does recognize my 2tb older hard, drive wonder why?",I suggest you contact Western Digital
will this work with Dish?,Can you use this for movie storage on the dish hopper
I have ssd on my computer if i buy this will it work on my computer. Like transfering files etc?,"As long as your computer has a USB port, yes you can use this drive to transfer files and backup your computer. It is a spinning drive so it will not be a quick as your SSD."
Does this ship to sri lanka?,"I believe that it does, but be sure to check the final cost of shipping! You may find one locally."
This is supposed to have 2 tb. there are 2000 gigabytes in a terabyte. my 2nd terabyte only has 81 gigabytes. what's with this?,There are 1000 gigabytes in a terabyte. The formatting information will use up some space. your total storage space will be less than 2tb. Hope this helps
Does this transfer mac files to windows?,"The way I understand this item's performance is that it can be formatted for windows, or mac, not both."
Can i use this to transfer stuff off my satillite dvr and store it there fir a later date?? I only have 40% of stuff on my dvr now that i want to move,If you can xfer anything from your DVR to any hard drive - then yes. Assuming you can use USB 3.0 this device acts just like a fast hard drive. You really want USB 3.0 as 2TB is a lot at any slower rate!
how to install into my samsung tv?,"dont know how to connet to TV, my is conected to streamer, i asume you need to connect wito cable to usb on your TV , however you need the tv to support external device like this one.good luck"
I placed an order on April 6 and l haven't received,Return mine stopped working after 1 week
How fast is this drive? Is it 7200 rpm?,"It depends on the specific model you got. Google the exact model number and you will find sites that tell you the specs of the internal drive. Be aware that there could be multiple (all correct) answers, as some may have one model internal drive and others may have a different model internal drive."
Why don't you mention what type of hard drive this is? ssd or hdd?,"This drive is a HDD, spinning up within 2 seconds."
Does it work with cameras ?,"no, it requires a computer to write to it. Your camera communicates to the flash memory inside it, but will not interface with an external memory. But that would definitely be a great feature since a drive like this would enable you to record video for days or even weeks."
Will it work for ps4,"Excellent day Grayson I understand that you have doubts about the compatibility of the WD 2TB Elements Portable External Hard Drive with the PS4, I will be glad to provide you with the needed information. The requirements for a Storage device to work correctly with the PS4 are the following."
Does this drive work with a Samsung smart TV usb port?,"A usb port is a usb port, just like a rose is a rose, however, the real question should be, does Samsung's Smart TV USB port allow for storing streaming data, such as tv shows or movies?"
I have several of these from 2018-19 and they shipped with micro usb to usb cable. does the new version offer updated cable with micro usb to usb-c ?,"Excellent day I understand that you have doubts about the cables included on the WD 4TB Elements Portable External Hard Drive, you would like to know if the new version has a cable USB to USB-C since the cables included on several devices that you have are Micro USB to USB, I will be glad to provide you the needed info see more"
"Cameroon doesn't have a zip code, does it affect shiping procedures?",Please call WD for technical support.
Does this drive support an exfat file system for mac?,If you can format it for NTFS then you can also certainly format it and select for other formats like FAT32 or xFAT or whatever you like. Not sure why everyone would answer NO to this question. Maybe they think they know and just don't? FAT will not support larger than a 4GB file size but exFat should be fine (non-N see more
Will this work with a ps4?,Work's great with Invidia Shield
will it work with windows 7?,"may be , because i use it with Windows 10. so it must work with windows 7."
Does it work with playstation,I don't know anything about these because my nephew found this and hooked everything up. I am not computer hardware saavy.
Does it work for the ps4/ps4 pro??,"What you want this 2TB Elements Portable External Hard Drive? For back up or download or save the games. If you use as back up, save games and run to PS4, its work."
Will this work with tablo 4,"Yes it does. I have the 4tb hooked up to my Tablo, been recording movies and shows on it for three years. Was easy to install. Just plugged it in and the Tablo automatically formatted it to it's spects. Works very well."
Has anyone used this with a digital tv converter box?,Yes- depends on your box. I had to format my drive to Fat32 to be recognized. Windows wont do such a large drive. You have to go to the WD website and use their tool. Understand that with Fat32 file sizes are limited to 4.5gb
Can I use this to store videos and pictures to free up room on my laptop and phone?,Yes you can use it for freeing up storage on your laptop and phone what you have to do with the phone though is either take your SD card out and put it in your computer or you can do it the way I did it and buy a little cable and plug into the hard drive and plug it into your phone and then store stuff on it like that.
What adapter do you need to work with an iPhone?,You cant connect an iPhone directly to any Hard Drive.
"Could i put creative adobe cloud software like photoshop, after effects or premere pro on it?","Hi, I've used my Elements Wd 2 TB supporting Creative Adobe Cloud data and more clouds Adobe Ai, Lr, Ps for years with no problems."
does it work with ps4 and mac?,I dont have a ps4 but it works great with my Mac.
Can I download from I phone ?,"Hello friend, How are you?"
Does this work with fire stick?,It should work with a FS
Will it slowdown if i format it to exFAT?,I don't think so man.
Work with xbox 1?,Yes
I have a hp mini 5103 laptop with no hard drive will this work or do I need a internal drive ?,Yes I believe it will. My dell laptop does not have a hard drive. When you plug this device in it becomes the hard drive.
Buying this for my ps4. if i buy an xbox later can i delete ps4 files and reformat for xbox?,"Excellent day Bruce, I understand that you have some doubts about the functionality of the WD 2TB Elements Portable External Hard Drive with the Xbox ONE since you will use it first for a PS4, I will be glad to provide you with the needed information."
Does it come with a usb 3.0 to usb C cable?,It comes with its own USB cable (not sure if it is a C type)
can I just copy files to this hard drive and leave a copy on my computer?,"Yes, and save to a cloud as well if you so choose"
"Has anyone had false disconnect issues on ps4 in rest mode, needing for file repair?",Sorry I don't use ps4.
Does this work with xbox one?,Yes. It works great!
Can you remove the hard drive from its case and install it in a ps4 or does it have a proprietary usb plug in it?,"I dont remember sorry been a while, i think she just plugged it in a usb port and it just works as additonal storage. So you basically have the storage you originally had they once you add this its an empty 2tb. You pick the storage you want to save games on once you install this to your ps4. Hope that helps"
Can you do a disk image backup windows 10?,"The only reason that I can think of that would prevent you from making a disc image of windows 10, would be"
Will this work with the fire recast?,Yes it does. I have one hooked up to mine and it works great. Just plug it in and the Recast will ask to format it. Make sure to answer YES to this question.
"It is possible to format it to put in files from both pc and mac, both?",You will need to partition the drive to a terabyte each format one for ntfs or fat32. The other for how ever you format a Mac.
Does it have installation disk?,No. You don't need an installation disk. It's automatic...it comes with everything you need already. I used mine to back up my old hard drive on my mac because I upgraded my laptop to more hard drive space. I hope my answer helped.
does it have memory buffer?,"It is garbage, breaks after a month."
"Can i save pictures from windows and open on my mac? also, will i be able to download my dvd movies onto this to play them on my tvs and macbook?","I'm not sure , use it to store games on my xbox. It can be used to store pictures from a PC etc though. sorry couldn't be more helpful"
Does it work with the Xbox one x?,"Yes, this drive will work with the Xbox One X."
"my drive is 2 years old almost never used when i access certain files it goes slow or doesnt go at all, is this a sign of possible drive failure soon?","Excellent day I understand that you have doubts about the use of the WD 4TB Elements Portable External Hard Drive since its 2 years old and sometimes when you try to access into some files it gets slower but sometimes it doesn't so you feel concerned about your device healthy, I will be glad to provide3 you the needed"
"Does the wd elements 2tb portable have a solid state drive? some answers here say yes, others say it does not.","Excellent day I understand that you have doubts about the use of the WD 2TB Elements Portable External Hard Drive you would like to know if this device as a solid-state drive one on it, I will be glad to provide you with the needed information."
My laptop does not have the space to accommodate Microsoft updates. Will this external drive solve this issue?,"I'm not sure about that as (If my memory serves me right!) updated have to be installed on the harddrive that has the OS (Operating System) is installed on. If I'm correct (Either way!) you should move some of your photos, videos & music over onto a backup harddrive. That will eliminate both your question & also will h see more"
"Can, or how, can th drive be used in a mac (mac os) ?. if re-formatting req., how hard to do ?","This is an external hard drive and can be formatted at any time within the Mac, it can store your files all toggheter without overloading the memory on your Mac."
Does this drive have an off/on button?,"No, this doesn't have an On/Off button. It's not required."
What's the catch for the great value on the 4 TB hard drive?,The price was affordable and below other sites and instore. It works great and I use it on a daily basis so it gets a workout and it has proven to be well worth the purchase....
i have windows 10 on a laptop would this be a good device to install google on and use goodle search rather than by laptop hard drive ?,I can't say definitely since I don't use that. But I can say that this drive can be used as a compliment or instead of your hard drive
Does this work for backing up an iphone? also a canon 80d directly from the camera?,"Not sure, but I know it is possible to backup with both devices through laptop or desktop."
Is this item also compatible with windows 10?,I dont see why it wouldnt be.
how many pictures can be stored on it?,"A lot depends on the file size of your pictures. Assuming 5 MB per picture will basically let you store about 200,000 pictures on the drive."
"I've seen a lot of answers and reviews for the ps4, and this may sound like a silly question, but does it work well with a PS3?",Unknown. Im not a gamer
Is it compatible with windows 2000 Server?,I used it for Xbox external drive. I think it should.
Is this ehd easy to use? for freeing up space on laptop and to access dox and application i need to use often? i'm not a tech guy.,Very easy to use and you can put all the information on your laptop on this hardrive and have room for putting on all information on several other devises. There is tons of room on the external hard drive. An excellent place to back up all your devises.
"How do you stop it from opening when restart the computer? i have win 7 and every time i run a restart the computer, drive element (f:) opens.",Hi there and hope this helps ! Turn off AutoPlay completely
Este disco duro es compatible con ps4 para instalarlo internamente?,S?lo es para uso externo
Is this digital,Yes
Is this formatted with (1) 4tb partition?,"Yes, but you change it to 2GB MBR partitions instead of the 1 GPT partition"
Does it work with ps4,"Hello friend, Yes, you can use it on your PS4"
photos reject double photes,It's not clear what you are asking.
work for the ps4?,"I bought for xbox one, ? think work with ps4"
"My wd external hard disc 4tb is not working. i purchaed on may 2, 2018. what do i have to do?","2 year warranty so you need to return it to Amazon I guess. Company may or may not refund you depending on unit condition. I.e. if its been dropped, dunked etc"
Is it a PC part?,Mine is a paper weight. Stopped working on my Macs but I am sure it's equally ineffective on a PC.
ps4 compatable?,Should be
"My sons have the xbox one 1tb...i need to know which external hard drive should i get...the 2tb, 3tb, or 4tb?",Cheapest per Gb you can afford. And the number of games you'll allow your kids to play.
is this drive ssd?,does it work with windows 10 pc
"can this be used to reinstall windows (i.e., clean a hard drive)?",I'm not sure why Amazon asked me to review this... I didn't buy one! I bought the 4 TB Desktop model.
what's its difference with my passport,"My Passport case has sharper corners and comes with encryption and backup software. However, as far as the software goes, there are plenty of other options that can fill those needs, free and otherwise. If a longer warranty is appealing to you, the My Passport Ultra comes with a 3-year warranty."
"4 tb works with my windows 10 but my new 5 tb isn't recognized, any suggestions?",Return the pos
how many amps does it draw?,No way to tell. Sure not much to measure or worry about.
Can this hard drive be formated Fat32?,I guess yes
Does it need a power supply?,No
Will this be compatable with my mac 10.7.5?,"I believe so - I'm on 10.15 but used it before I up graded. I purchased it over a year ago, as a backup, and it has worked perfectly for me. FB"
What is the expected lifespan of an hdd like this when stored at room temperature? will it last at least 10 years?,"While drives like this MAY last 10 years...by no means count on it! Warranty is for 2 years with this drive meaning company is pretty sure it will last 2 years before crashing. For this reason, I change my drives EVERY 2 YEARS. Everyone should have at least 2 copies of data i.e. main computer and 1 backup drive. I see more"
does it work with dish wally as a dvr?,I dont know but I dont see why not. Its just a external driver
Is it new or in stoke ?,i think in stoke
My computer does not recognize this decide anymore. Just stopped working completely- does anyone have any suggestions?,I assume you mean DEVICE (decide)? Have you tried another USB port on the computer?
Why do you state 3TB when the storage capacity of the drive you sell is actually 2.72tb?,I dont know the answer to this specific question. But I wouldnt buy this drive. Mine stopped working after only 8 months and I lost tons of data
How many wires for hook upon the wd 2tb,Just the electrical plug.
Can i use this 4tb drive with multiple ps4's? can i store content from multiple consoles or just one?,"To anybody still wondering, yes, you can use this (or any other hard drive) across multiple consoles. It may or may not require using the same PSN account (I've only tried with my account)."
"Hi i lost the cable to connect it to the PC, which cable I have to buy? do you sell it? thank you",You need a cable usb 3
"If the drive is already formatted ntfs and i put files onto it from a pc (mp3s), then plug into mac to access the files, will i be able to see them?","You have to format it to your pc and your mac, YouTube it its very easy to do"
Does this wd have a built in software that makes it to back all your new data automatically whenever coonected to your pc with cable provided?,"Hello friend, How are you?"
i can find no backup software for the elements drive. Where do you get it? Thanks,You can use Windows Backup..but it will take the whole drive..so thats all you will use it for..backups.
Will this work on samsung tv?,"I didnt work on mine,also Netgear router didnt recognized it when I tried to set it up as a media server even though its listed on there site its compatible"
how much usable space does this have after formatting?,"It depends on the format. If FAT32, around 3.80. If NTFS, around 3.70."
windows 10 file history - does this work with?,A: Using Windows 7/8/10 OS all you have to do is plug it in the USB port. Follow instructions to complete the installation and it should show up as a specific drive. As long as it is not for Mac only!
Does it work with ps4?,Very well I use it for my ps4
"This mentions Windows 7, 8.1 & 10............. just curious as to when the next Windows might come out... then this will be no good??",Thats not how it works.
Is this in US dollars?,Yes
How do you transfer data from my current external hard drive to this Western Digital external hard drive?,"You plug your current HD into your PC. You plug your new Elements HD into your PC also. Right click on all the file(s) you want transferred off your old external hard drive and select ""copy""."
I have windows 10 can i use this to back up my games?,Cannot recommend as mine quit working after 8/9 months for no reason.
"Does this WD Elements unit require you to purchase additional back up software, or is it included?",No back-up software was/is included. You must buy additional back-up software.
Will this work with tablo,"Yes it works great with my Tablo 4 also. It's very easy to install also. I just plugged it in and it asked if I wanted to format it. Make sure to answer YES to this question. Once it formatted it, it was good to go."
Do it wrk for tv's,if its 2tb or less yes
Whats the red line?,Roughly around 1.56TB.
Can this be used as a main hdd on a pc to install games on?,"Excellent day Amy, I understand that you have some doubts about the use of the WD 2TB Elements Portable External Hard Drive, you would like to know if the device can be used as the main source for game storage and use, I will be glad to provide you with the needed information."
How do you find the password hint?,"I believe you are confusing the Elements with the Passport from WD. You can password protect folders with the Elements, but the Passport is the only one to actually have a password protecting the device itself."
Does it work for playstation 4?,"This question has been answered many many times. Yes, it works with PS4."
Will this work with channelmaster stream+(cm-7600)?,"I believe it will work with it, but I dont think the channel master can format and use a drive this large. I believe the caramel master can only address 1 TB drives or smaller"
How long will it last and is it trustworthy?,I don't know how long it will last. Sorry but I imagine it depends on how often you use it and the quality of the components. That's a good question for the manufacturer.
Can this be run through my home router?,It's suppose to. I haven't tried it yet but will soon.
Does it work with Anthroid?,"Does it work with Anthroid? No, what is Anthroid? Does it work with Android? Yes :)"
ssd or hdd?,"Hello friend, How are you?"
What is the difference between this hard drive and a can of paint?,"As long as you have a mustache, all is good."
Does this hard-drive have a port for an SB card reader?,No
does it support ps4 slim????,It does indeed ^_^
Does it come with its own standard USB 3.0 cable?,Yes. It includes a 18-inch standard USB 3.0 cable.
Does it work on ps4?,It does not work on anything thing forget about PS4
If it works with usb 3.0 and 2.0 why wont it work with xp?,"That's like asking if I can run and I can walk, why can't woodchucks chuck wood? If you are referring to Windows XP, that OS is so old that it is difficult to get drivers to work with very large USB hard drives. You might find a driver out there, but perhaps you should stick to small USB drives or upgrade your OS."
Can it e used with iMac Mohave?,Yes
Do you need to install a driver? (for MAC),No. You may just need to format it for Mac.
Does it works xbox 360?,"Dont know, may work as external drive."
Does this work with ps4 pro,It does with mine and it should with yours as well.
which hard drive would be best for my MacBook Pro? (external I mean),"Yes. This is an excellent drive and will give you years of reliable service, plus loads od storage space."
Can i use this to export photos/videos off my phone?,"Not directly, as your phone doese not have a usb 3.0 port. You will need to transfer photos first to a computer or laptop, then plug the drive in to transfer to it."
Will this work with windows 10. I just plugged it in and nothinf is happening,"It does work with Windows 10. However, when plugged in, you won't necessarily see anything happen. However, the drive should display in the Windows File Manager, and it can be accessed and used like any standard hard drive."
Do you have to plug this into an electrical outlet or does it draw all it's power from the USB connection?,Only portable drives are powered by USB. Desktop drives require an electrical outlet
Does it work with a ps4?,"Hello friend, How are you?"
Does it come with cable to connect to iPad?,it comes with a USB cable. If your iPad has a USB port you are all set!
Does it work with a chrome book?,"If your Chromebook has a USB port, then yes"
Well this work for taking video files from my dahua NVR CAMERA SYSTEM,It's a standardd USB connection so it should work
Will the drive work with Windows 95?,This is an external USB drive. I am not sure if USB was supported in Windows 95. I would check that first. I doubt USB support exists for Win 95.
Does it come with a cable?,"Yes, a cable that attaches it to the computer if that's what you mean."
"How do I add files? When I try to add any type of file it creates an ""x"" with a circle and won't allow me to.",Have you formatted your hard drive yet?
Is there a buffer cache on this model? If yes andy details appreciated.,Yes..
"My 2t is an ssd, confirmed by hard disk sentinel. thin, light, fast. does anyone know anything about it?",I dont uderstand what you are asking. This drive is not an SSD.
when the files are stored does it keep the same names or re-name weird?,"Microsoft Windows allows a file names up to 256 characters. After that, it adds a ~. In most situations, whatever name you transfer is the name that is stored. My advice is to keep file names brief."
Does it come with a connection USB cable?,"Yes, it did come with a USB cable to connect it to things. I use it to connect to my laptop."
what hard drives will it work with?,With all.
Will this work on my Xbox 360?,If it has a port for USB link up it may. I would email Microsoft Xbox or Western Digital. I
"Just got mine in mail today, try to plug it into my macbook. doesnt work. i cannot add files to it. any help?","Hello,"
"Does this work with a playstation 3? as in, if i save video recordings on the hard drive, can i then play them to watch on the ps3?","This is just a plain old portable hard drive. If your ps3 has a USB port I would say, logically, yes. It should recognize it. Now read your ps3 instruction/specs book to be sure you can hook up an external hard drive to your ps3 play station. Logically, it sounds fine."
Will this work for the ps5?,Yes
Can you put pictures from your phone to the external hard drive,"I download my pictures into my laptop, then into the external hard drive."
Can I plug this into my wireless router for wireless backups?,It depends on the router and backup software. You need to check the user guides of both. WD Elements drives do not include backup software.
"External disk, when connected is giving the error that disk is right protected. How to fix this issue ?",I did not have that issue do I don't have an answer.
Is this compatible and does it work with the PlayStation 4 Pro?,"Yes it does, as an extended storage device"
device not updating ?,"Try a different USB port on your computer. Then turn on and off and try again. If not, you might want to return the unit. JMO"
Can I connect it with my iphone?,never tried
When is the 6tb or even the 8tb versions coming out?,Ask Manufacturer
does this have thunderbolt 2,NO. the interface USB
"considering this is a mechanical drive, is it really durable?",I use it as a back up drive and just store it in my desk drawer so I have no idea as to its durability.
Will it work on ps4?,Yes all you have to do is re format it and the ps4 does that super easy
Does this external drive hook directly to a dvr with an e sata cable? how do i transfer recordings already on my dvr to the external drive?,"Sorry, cant help. I only connect to my PC with a USB cable that comes with the drive."
does it work with mac pro mojave OS?,I am pretty sure it will work but you will have to reformat the drive once received as it is set up for PC's not Mac. The Mac has a different file format than a PC. Instructions should come with the drive.
"I have wd 1 tb for tablo. any suggestions on 2,3,4. different hard drive, maybe",I think its the same just different capacity and probably speed charge change too !
can you plug it into a server with sbs 2008? and use it as backup?,"Yes, but with SBS 2008 there was an issue with drives no longer being recognized by the backup software after having worked for some time. I have no idea if the issue was ever fully resolved or not but if you're planning on leaving the drive plugged in and never rotate it out you might be fine. If you're planning to ro see more"
Can this be used as a dvr for a dish reciever?,No. You need a desktop drive with its own power supply. WD Elements desktop versions will work.
Wanted to back up pc.no instructions.just a pic of connection. info about class action suit and in multiple languages. i connected to pc now what?,"Return this product for a refund. Mine stopped working after only a few months, and the manufacturers web site is no help whatsoever. Many others have reported this as well."
What are the dimensions?,You can see the dimensions right here: https://www.wdc.com/products/portable-storage/wd-elements-portable.html
Does it work with a PS3?,Yes
Can i save my games and memory from my ps4 to this item?,I gifted this to someone else. Can't answer your question. Good luck.
How long is the cord that comes with this hard drive? Thank you.,12 or less inches
Does this come with the lithium ion battery or is it purchased separately? What type?,"This is plug and play, ready to go when you plug in the USB cable."
"will this size be good to shall i select the 4TB,I want to back up my Mac for mostly pictures...","Depends on the size and quantity of pics, but the 2 TB drive will easily store tens of thousands of pics. If money's no problem, for the extra cost the 3 or 4 TB is a good choice too as it gives you more options."
I'm writing my memoir. Is 1 terabyte gonna be enough?,Absolutely! You have space to write your memoir AND make a movie and record an album about it lol.
"This mdl# wdbu6yoo20bbk-wesn. anyone know which is newer, this or mdl# wdbkuzoo20bbk-wesn @bestbuy for same price?",Best Buy
"Is this a 7200 rpm, drive?","I don't know, but I doubt that it is. I would have to bust it open to find out for sure. (Doesn't look easy to open, either ;-) Maybe you could find out at wd.com"
I hear a lot of complaints about the core being cheap. what kind of cord is it so i can order a cord separately? is it usb 3.0 male to male?,Mine worked fine out the box
does it have cloud storage,"No. Cloud storage is a remote external hard drive, and this is a physical piece of equipment. Two different technologies."
"If i connect this to my Android phone, will i be able to move Google play movies or Vudu onto the external drive?",Mixed platforms. I would not assume so.
Does this drive work with USB 2.0?,Look at the specs online . I don't have the container mine came with.
I have a pc and a Mac - can I use on both?,Yes. You will need to reformat the drive to exFAT so both systems can read and write to the drive or partition it and for mat one partition for Mac and the other for Windows. Using exFAT is easiest.
This did not come with a wire to plug it in. Is it supposed to???,Yes should have a usb connector
